# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
0 1.04556
100 1.34594
200 1.55506
300 1.768
400 1.94681
500 2.12825
600 2.31694
700 2.50937
800 2.70231
900 2.8925
1000 3.08225
1100 3.29294
1200 3.47069
1300 3.65794
1400 3.81019
1500 3.95669
1600 4.072
1700 4.15425
1800 4.25256
1900 4.30788
2000 4.33069
2100 4.37594
2200 4.41094
2300 4.44125
2400 4.47013
2500 4.48062
2600 4.49325
2700 4.52281
2800 4.53731
2900 4.53106
3000 4.53062
3100 4.526
3200 4.51969
3300 4.50919
3400 4.50213
3500 4.49856
3600 4.48994
3700 4.48419
3800 4.461
3900 4.42444
4000 4.41444
4100 4.37631
4200 4.37194
4300 4.36862
4400 4.332
4500 4.34925
4600 4.32219
4700 4.29794
4800 4.24962
4900 4.23538
5000 4.246
5100 4.18256
5200 4.19238
5300 4.18313
5400 4.14744
5500 4.14213
5600 4.13569
5700 4.12212
5800 4.11644
5900 4.11175
6000 4.08325
6100 4.08425
6200 4.09237
6300 4.08756
6400 4.0695
6500 4.06037
6600 4.033
6700 4.04125
6800 4.03562
6900 4.01181
7000 4.02769
7100 4.00944
7200 4.00556
7300 4.01875
7400 3.99425
7500 3.98219
7600 3.96787
7700 3.93513
7800 3.96444
7900 3.93463
8000 3.92663
8100 3.90806
8200 3.90475
8300 3.90381
8400 3.888
8500 3.89688
8600 3.88206
8700 3.89619
8800 3.86813
8900 3.87869
9000 3.86869
9100 3.84675
9200 3.85069
9300 3.83925
9400 3.80356
9500 3.81181
9600 3.821
9700 3.80706
9800 3.83469
9900 3.81131
10000 3.79513
10100 3.76963
10200 3.79006
10300 3.78006
10400 3.77619
10500 3.78906
10600 3.756
10700 3.75581
10800 3.76106
10900 3.73675
11000 3.75906
11100 3.748
11200 3.74763
11300 3.71594
11400 3.70294
11500 3.72419
11600 3.71969
11700 3.703
11800 3.69856
11900 3.69644
12000 3.707
12100 3.68544
12200 3.68475
12300 3.67281
12400 3.659
12500 3.68025
12600 3.66019
12700 3.66181
12800 3.66519
12900 3.66763
13000 3.63987
13100 3.64262
13200 3.63481
13300 3.65263
13400 3.65175
13500 3.66938
13600 3.64581
13700 3.63675
13800 3.63469
13900 3.5995
14000 3.64444
14100 3.612
14200 3.60137
14300 3.6025
14400 3.5925
14500 3.59156
14600 3.57088
14700 3.56244
14800 3.58256
14900 3.57994
15000 3.55287
15100 3.57719
15200 3.59531
15300 3.54937
15400 3.5395
15500 3.54675
15600 3.55244
15700 3.51719
15800 3.56125
15900 3.537
16000 3.53194
16100 3.5075
16200 3.51494
16300 3.508
16400 3.51675
16500 3.51094
16600 3.52644
16700 3.51363
16800 3.50231
16900 3.47662
17000 3.48819
17100 3.49931
17200 3.48394
17300 3.48694
17400 3.502
17500 3.47644
17600 3.48062
17700 3.50338
17800 3.4435
17900 3.45656
18000 3.45288
18100 3.43169
18200 3.44394
18300 3.4485
18400 3.46287
18500 3.44488
18600 3.46331
18700 3.46844
18800 3.43494
18900 3.44131
19000 3.45131
19100 3.43381
19200 3.427
19300 3.42013
19400 3.43213
19500 3.43337
19600 3.426
19700 3.44006
19800 3.3865
19900 3.42606
20000 3.396
20100 3.40456
20200 3.40937
20300 3.40756
20400 3.4035
20500 3.40187
20600 3.39881
20700 3.39688
20800 3.37162
20900 3.37419
21000 3.4055
21100 3.38994
21200 3.38919
21300 3.37644
21400 3.39044
21500 3.38631
21600 3.3695
21700 3.36888
21800 3.36563
21900 3.36694
22000 3.34063
22100 3.34075
22200 3.34806
22300 3.36081
22400 3.34725
22500 3.34219
22600 3.32419
22700 3.33531
22800 3.30169
22900 3.30144
23000 3.30987
23100 3.296
23200 3.29619
23300 3.30112
23400 3.31288
23500 3.31925
23600 3.29844
23700 3.28794
23800 3.30912
23900 3.30606
24000 3.30794
24100 3.29556
24200 3.29212
24300 3.28475
24400 3.30456
24500 3.30081
24600 3.30719
24700 3.28
24800 3.3175
