# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.0130779
200 0.013474
300 0.013772
400 0.0140458
500 0.0142932
600 0.0144885
700 0.0146334
800 0.0147427
900 0.0148295
1000 0.0149229
1100 0.0150198
1200 0.0151439
1300 0.015293
1400 0.0154304
1500 0.0155855
1600 0.0157564
1700 0.015878
1800 0.0159903
1900 0.0161331
2000 0.0162811
2100 0.0164192
2200 0.016551
2300 0.0167069
2400 0.0168605
2500 0.0170199
2600 0.0171916
2700 0.0173804
2800 0.0175675
2900 0.0177654
3000 0.0179539
3100 0.0181344
3200 0.018303
3300 0.018454
3400 0.0185955
3500 0.0187405
3600 0.0188884
3700 0.0190513
3800 0.0192401
3900 0.019452
4000 0.0196299
4100 0.0197817
4200 0.0199478
4300 0.0201347
4400 0.0203145
4500 0.0204782
4600 0.02064
4700 0.0207527
4800 0.020899
4900 0.0210747
5000 0.0212734
5100 0.0214651
5200 0.0216366
5300 0.0217808
5400 0.0218993
5500 0.0220532
5600 0.0222339
5700 0.0223895
5800 0.0225483
5900 0.0227236
6000 0.0229157
6100 0.0231001
6200 0.0232744
6300 0.0234716
6400 0.0237286
6500 0.0239883
6600 0.0241322
6700 0.0242274
6800 0.0243189
6900 0.0244584
7000 0.0246381
7100 0.0247432
7200 0.0248307
7300 0.0249443
7400 0.0250299
7500 0.0250757
7600 0.0251669
7700 0.0252699
7800 0.0254205
7900 0.0255773
8000 0.0257009
8100 0.0257907
8200 0.0258269
8300 0.0258768
8400 0.0259812
8500 0.026165
8600 0.0264109
8700 0.026616
8800 0.0267269
8900 0.0268229
9000 0.0269221
9100 0.0270155
9200 0.0270656
9300 0.0271163
9400 0.0271783
9500 0.0273375
9600 0.0275728
9700 0.0277203
9800 0.0278131
9900 0.0279543
10000 0.0281111
10100 0.0282845
10200 0.0284735
10300 0.0286416
10400 0.0287953
10500 0.0289221
10600 0.0290212
10700 0.0291095
10800 0.0291784
10900 0.0291758
11000 0.0292048
11100 0.0292667
11200 0.0293504
11300 0.0294851
11400 0.0296233
11500 0.0297497
11600 0.0298786
11700 0.0299707
11800 0.0299925
11900 0.03001
12000 0.0300844
12100 0.0301131
12200 0.0299826
12300 0.0299284
12400 0.029991
12500 0.0300927
12600 0.0302135
12700 0.0303265
12800 0.0304096
12900 0.0304783
13000 0.0304729
13100 0.0304738
13200 0.0304896
13300 0.0304532
13400 0.0304171
13500 0.0304424
13600 0.0304992
13700 0.0305269
13800 0.0305324
13900 0.0305251
14000 0.0305232
14100 0.0305216
14200 0.0304778
14300 0.0304078
14400 0.0303115
14500 0.0301909
14600 0.0301646
14700 0.0302814
14800 0.0303741
14900 0.0303836
15000 0.0303872
15100 0.030397
15200 0.0304241
15300 0.0304689
15400 0.0304297
15500 0.030308
15600 0.0302611
15700 0.0301756
15800 0.0300737
15900 0.030059
16000 0.0300921
16100 0.0301251
16200 0.0301704
16300 0.030251
16400 0.0303178
16500 0.0303694
16600 0.0304224
16700 0.0304396
16800 0.0304128
16900 0.0303961
