# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 33.184
200 105.921
300 156.389
400 190.516
500 226.218
600 256.271
700 279.851
800 302.21
900 307.372
1000 307.184
1100 300.528
1200 300.793
1300 300.358
1400 295.251
1500 296.171
1600 308.417
1700 303.961
1800 293.578
1900 296.173
2000 301.501
2100 301.732
2200 300.628
2300 300.479
2400 298.596
2500 300.839
2600 303.369
2700 302.286
2800 294.921
2900 294.598
3000 298.903
3100 301.81
3200 307.672
3300 304.7
3400 295.78
3500 298.862
3600 296.391
3700 296.006
3800 303.967
3900 302.093
4000 302.825
4100 302.859
4200 301.06
4300 294.745
4400 296.688
4500 298.408
4600 302.843
4700 298.626
4800 300.857
4900 303.184
5000 300.671
5100 303.239
5200 298.652
5300 296.925
5400 297.182
5500 298.421
5600 306.92
5700 303.123
5800 295.845
5900 296.974
6000 299.59
6100 303.491
6200 302.394
6300 294.537
6400 295.386
6500 305.924
6600 305.33
6700 301.073
6800 292.686
6900 295.955
7000 303.968
7100 306.036
7200 299.176
7300 298.91
7400 297.715
7500 295.027
7600 301.074
7700 302.734
7800 303.073
7900 301.876
8000 300.966
8100 299.853
8200 298.919
8300 294.956
8400 295.41
8500 297.77
8600 304.403
8700 301.54
8800 299.961
8900 301.492
9000 297.761
9100 301.703
9200 300.046
9300 299.753
9400 294.586
9500 297.173
9600 305.607
9700 304.623
9800 300.34
9900 298.165
10000 300.531
10100 297.429
10200 306.43
10300 304.273
10400 303.194
10500 299.085
10600 298.406
10700 302.686
10800 302.888
10900 300.781
11000 292.251
11100 298.552
11200 301.694
11300 299.784
11400 301.611
11500 299.937
11600 297.432
11700 298.85
11800 298.605
11900 298.784
12000 306.057
12100 304.703
12200 296.52
12300 295.554
12400 301.18
12500 301.771
12600 303.185
12700 301.572
12800 299.813
12900 298.485
13000 297.78
13100 298.16
13200 298.255
13300 301.089
13400 307.499
13500 298.258
13600 299.93
13700 300.527
13800 298.876
13900 304.557
14000 295.895
14100 294.768
14200 297.03
14300 303.74
14400 302.222
14500 297.026
14600 293.9
14700 297.705
14800 301.96
14900 298.066
15000 301.27
15100 300.26
15200 302.559
15300 305.927
15400 303.301
15500 298.553
15600 298.627
15700 300.425
15800 300.738
15900 304.897
16000 304.147
16100 301.66
16200 302.042
16300 297.889
16400 299.012
16500 292.347
16600 304.416
16700 302.633
16800 296.684
16900 300.304
