# Time-averaged data for fix myat2
# TimeStep v_myvol
100 80292.2
200 77932.5
300 76243.7
400 74757.8
500 73462.7
600 72472
700 71753.9
800 71222.1
900 70805.2
1000 70361.8
1100 69908.2
1200 69335.4
1300 68659.4
1400 68047.9
1500 67371
1600 66639.9
1700 66129.7
1800 65665.1
1900 65083.9
2000 64492.2
2100 63949.8
2200 63440.5
2300 62848.9
2400 62276.2
2500 61693
2600 61077
2700 60413.3
2800 59769.9
2900 59104.3
3000 58483.6
3100 57901.6
3200 57368
3300 56898.7
3400 56465.5
3500 56028.8
3600 55589.8
3700 55114.9
3800 54574
3900 53979.6
4000 53490
4100 53079.5
4200 52637.7
4300 52149.2
4400 51687.6
4500 51274.3
4600 50872.2
4700 50596
4800 50241.9
4900 49823.2
5000 49357.7
5100 48917
5200 48529.1
5300 48207.6
5400 47946.8
5500 47612.4
5600 47225.5
5700 46897.1
5800 46567
5900 46207.7
6000 45820.3
6100 45454.6
6200 45114.3
6300 44735.2
6400 44250.8
6500 43771.7
6600 43510.4
6700 43339.5
6800 43176.3
6900 42930.3
7000 42617.1
7100 42436
7200 42286.5
7300 42093.9
7400 41949.9
7500 41873.2
7600 41721.6
7700 41551.4
7800 41305.4
7900 41052.2
8000 40854.6
8100 40712.4
8200 40655.2
8300 40576.9
8400 40413.9
8500 40130.2
8600 39756.5
8700 39450
8800 39286.4
8900 39145.7
9000 39001.5
9100 38866.6
9200 38794.6
9300 38722.1
9400 38633.8
9500 38409.1
9600 38081.1
9700 37878.5
9800 37752
9900 37561.5
10000 37351.9
10100 37123
10200 36876.5
10300 36660.1
10400 36464.3
10500 36304.4
10600 36180.4
10700 36070.7
10800 35985.6
10900 35988.8
11000 35953
11100 35876.9
11200 35774.7
11300 35611.2
11400 35445.2
11500 35294.6
11600 35142.2
11700 35034.3
11800 35008.8
11900 34988.4
12000 34901.9
12100 34868.6
12200 35020.4
12300 35083.7
12400 35010.5
12500 34892.2
12600 34752.7
12700 34623.2
12800 34528.6
12900 34450.7
13000 34456.8
13100 34455.8
13200 34438
13300 34479.1
13400 34520.1
13500 34491.4
13600 34427.1
13700 34395.9
13800 34389.7
13900 34397.9
14000 34400.1
14100 34401.9
14200 34451.3
14300 34530.6
14400 34640.3
14500 34778.8
14600 34809
14700 34674.8
14800 34569
14900 34558.2
15000 34554.1
15100 34542.9
15200 34512.1
15300 34461.4
15400 34505.7
15500 34644.3
15600 34698
15700 34796.4
15800 34914.2
15900 34931.3
16000 34892.8
16100 34854.6
16200 34802.4
16300 34709.6
16400 34633.1
16500 34574.3
16600 34514
16700 34494.6
16800 34524.9
16900 34543.9
